BW,BK,J,AP,BB,X,AO,BR,BY,AI
0.048341945,0.048003608,0.096693214,0.015550769,0.021732072,0.014460562,-0.000113992,0.019601146,-0.00176854,0.002383198
-0.004433362,0.031301579,0.017833435,0.029339538,0.050579951,0.009811069,-0.002936683,-0.002492146,-0.002101985,-0.003232858
0.0361336,-0.04406997,0.113721694,0.030549986,-0.019472788,0.009600745,-0.002767514,-0.008846055,-0.002287336,0.001662787
0.04363339,0.056597116,-0.019751588,0.023853698,-0.017614131,0.008593668,-0.00338069,-0.010800246,-0.004938873,0.002581005
0.040880055,-0.002258528,0.093375262,0.03106277,-0.019852747,0.009940251,-0.002009611,0.0296957,-0.001714755,-0.000230849
-0.074916183,-0.074154149,0.092525552,0.006737475,-0.024061873,0.005873629,-0.005350135,-0.008957927,-0.004974659,-0.000666572
0.04434191,-0.019413995,0.065827319,0.032394819,-0.020427257,0.017142441,0.024550706,-0.006073513,-0.002167459,0.003851255
0.010672238,0.026737843,-0.010363768,0.0228468,0.08166402,0.012269604,-0.002491276,-0.001026804,-0.002896607,0.003269129
0.018924535,2.88E-05,0.037109809,0.011111425,-0.038930653,0.004212609,-0.002823806,-0.017817378,-0.005864989,0.000553151
0.043267267,0.037744337,0.084407032,0.016861457,0.047216137,0.011541625,-0.000343159,0.045950467,0.007307684,0.003441272
0.026654137,0.039356241,0.036608769,0.004124731,-0.065803514,0.004335979,-0.002777798,-0.019466896,-0.001701274,0.001816727
0.032720172,0.033694266,0.056928057,0.017530166,0.023375263,0.010878527,-0.001239683,-0.003759988,-0.002282831,0.001767225
-0.094449469,-0.095955505,-0.039653249,0.012112794,0.038324091,0.00326913,-0.006349224,0.020035083,0.010776316,-0.00092123
0.009127776,0.010170939,0.017114652,0.024146983,0.033713945,0.01235843,-0.002128608,0.040008593,-0.000893628,0.003563084
-0.008905459,-0.010194754,-0.047769314,-0.06203075,-0.033803454,-0.032779724,-0.003410047,-0.026122275,-0.00746024,-0.001722047
0.00869552,-0.037629628,-0.042395435,0.022598292,-0.053124927,-0.000654484,-0.007047542,0.014605224,0.006553004,-0.00013884
0.032452625,0.042922958,-0.04809641,-0.116707681,0.025388914,0.00296344,-0.005307957,-0.01493257,-0.003709753,0.000248247
-0.050276355,0.007668736,-0.006827895,-0.044938023,-0.034244447,-0.036797432,-0.003072238,-0.013952839,0.007977827,0.000506936
0.036830623,0.04485641,-0.026082563,0.034222793,-0.025494995,0.00970192,-0.002953712,-0.004189995,-0.002778956,0.005368902
0.073676351,0.050205864,0.091432164,0.03254084,-0.028099719,0.011464189,-0.002404816,-0.003878986,-0.002911301,0.003566963
-0.074552794,-0.077020269,-0.016055391,-0.046369608,0.022503156,-0.03402492,0.009504117,-0.014705951,-0.007814652,0.000471437
0.019208902,-0.011915244,0.038908184,0.011995484,-0.013279105,-0.017140027,0.001952973,0.010209185,0.015279829,0.001818513
0.048068711,0.062176199,-0.016287924,0.015945305,-0.006746554,0.008044856,0.00061482,0.046286067,0.013321022,0.002304116
0.003265454,-0.078496719,-0.026146576,-0.060368054,0.020683686,-0.032136787,-0.004939115,-0.011722822,-0.005131054,-8.24E-05
0.032814712,0.044759036,-0.022285228,0.026834768,0.072340378,0.007985881,-0.003068273,-0.004968541,-0.003293387,0.00381351
0.045789693,0.030018585,-0.021982522,0.027130115,-0.01463992,0.008990509,0.013397101,-0.003083623,0.034594871,0.001537232
0.032972077,0.029094653,-0.054441415,0.012532965,-0.061617549,0.003059219,-0.004897484,-0.026445863,-0.007799297,0.003165264
-0.036943838,-0.113107885,0.013738278,-0.01220993,-0.04935925,-0.054386822,-0.003364645,-0.014455248,-0.005688151,-2.12E-05
